CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F991,F992,F993,F994,F995
,,,,,0,1,2,3,4+
60516,E00000001,E00000001,Output Areas and Small Areas,OASA,43,46,7,2,1
60517,E00000003,E00000003,Output Areas and Small Areas,OASA,37,58,10,6,1
60518,E00000005,E00000005,Output Areas and Small Areas,OASA,141,57,14,4,1
60519,E00000007,E00000007,Output Areas and Small Areas,OASA,58,19,6,0,0
60520,E00000010,E00000010,Output Areas and Small Areas,OASA,65,12,1,0,0
60521,E00000012,E00000012,Output Areas and Small Areas,OASA,110,25,1,0,1
60522,E00000013,E00000013,Output Areas and Small Areas,OASA,69,25,1,1,0
60523,E00000014,E00000014,Output Areas and Small Areas,OASA,123,8,1,0,0
60524,E00000016,E00000016,Output Areas and Small Areas,OASA,124,50,5,3,0
60525,E00000017,E00000017,Output Areas and Small Areas,OASA,62,65,11,2,2
60526,E00000018,E00000018,Output Areas and Small Areas,OASA,59,50,7,5,1
60527,E00000019,E00000019,Output Areas and Small Areas,OASA,56,27,2,0,0
60528,E00000020,E00000020,Output Areas and Small Areas,OASA,68,49,8,0,1
60529,E00000021,E00000021,Output Areas and Small Areas,OASA,112,52,5,3,1
60530,E00000022,E00000022,Output Areas and Small Areas,OASA,73,33,3,1,0
60531,E00000023,E00000023,Output Areas and Small Areas,OASA,67,22,1,0,0
60532,E00000024,E00000024,Output Areas and Small Areas,OASA,102,36,4,3,2
60533,E00000025,E00000025,Output Areas and Small Areas,OASA,133,61,18,5,2
60534,E00000026,E00000026,Output Areas and Small Areas,OASA,115,34,10,3,1
60535,E00000027,E00000027,Output Areas and Small Areas,OASA,182,35,6,3,1
60536,E00000028,E00000028,Output Areas and Small Areas,OASA,86,19,4,1,0
60537,E00000029,E00000029,Output Areas and Small Areas,OASA,105,19,2,1,0
60538,E00000030,E00000030,Output Areas and Small Areas,OASA,96,24,4,0,0
60539,E00000031,E00000031,Output Areas and Small Areas,OASA,57,20,0,0,0
60540,E00000032,E00000032,Output Areas and Small Areas,OASA,98,37,3,1,0
60541,E00000035,E00000035,Output Areas and Small Areas,OASA,118,24,6,1,1
64554,E00004120,E00004120,Output Areas and Small Areas,OASA,71,56,15,1,0
64555,E00004121,E00004121,Output Areas and Small Areas,OASA,52,50,14,2,0
64556,E00004122,E00004122,Output Areas and Small Areas,OASA,38,44,20,0,1
64557,E00004123,E00004123,Output Areas and Small Areas,OASA,17,49,31,9,2
64558,E00004124,E00004124,Output Areas and Small Areas,OASA,53,41,3,2,1
64559,E00004125,E00004125,Output Areas and Small Areas,OASA,135,38,5,0,0
64560,E00004126,E00004126,Output Areas and Small Areas,OASA,78,56,8,1,1
64561,E00004127,E00004127,Output Areas and Small Areas,OASA,78,41,5,0,0
64562,E00004128,E00004128,Output Areas and Small Areas,OASA,74,81,5,1,0
64563,E00004129,E00004129,Output Areas and Small Areas,OASA,83,51,6,2,0
64564,E00004130,E00004130,Output Areas and Small Areas,OASA,82,40,6,0,0
64565,E00004131,E00004131,Output Areas and Small Areas,OASA,40,64,14,1,0
64566,E00004132,E00004132,Output Areas and Small Areas,OASA,40,44,8,0,0
64567,E00004133,E00004133,Output Areas and Small Areas,OASA,72,35,10,1,0
64568,E00004134,E00004134,Output Areas and Small Areas,OASA,48,41,10,1,0
64569,E00004135,E00004135,Output Areas and Small Areas,OASA,78,24,3,0,0
64570,E00004136,E00004136,Output Areas and Small Areas,OASA,54,45,9,0,2
64571,E00004137,E00004137,Output Areas and Small Areas,OASA,81,54,12,0,0
64572,E00004138,E00004138,Output Areas and Small Areas,OASA,91,46,5,0,0
64573,E00004139,E00004139,Output Areas and Small Areas,OASA,120,20,0,0,0
64574,E00004140,E00004140,Output Areas and Small Areas,OASA,47,54,8,2,0
64575,E00004141,E00004141,Output Areas and Small Areas,OASA,69,38,6,0,1
64576,E00004142,E00004142,Output Areas and Small Areas,OASA,70,61,0,2,0
64577,E00004143,E00004143,Output Areas and Small Areas,OASA,70,44,11,1,0
64578,E00004144,E00004144,Output Areas and Small Areas,OASA,43,52,7,0,0
64579,E00004145,E00004145,Output Areas and Small Areas,OASA,58,42,8,2,0
64580,E00004146,E00004146,Output Areas and Small Areas,OASA,64,57,5,0,0
64581,E00004147,E00004147,Output Areas and Small Areas,OASA,66,53,4,2,1
64582,E00004148,E00004148,Output Areas and Small Areas,OASA,48,47,9,2,0
64583,E00004149,E00004149,Output Areas and Small Areas,OASA,51,77,16,5,0
64584,E00004150,E00004150,Output Areas and Small Areas,OASA,90,46,9,2,0
64585,E00004151,E00004151,Output Areas and Small Areas,OASA,83,55,7,1,2
64586,E00004152,E00004152,Output Areas and Small Areas,OASA,38,56,15,4,0
64587,E00004153,E00004153,Output Areas and Small Areas,OASA,59,43,5,1,0
64588,E00004154,E00004154,Output Areas and Small Areas,OASA,59,48,14,0,1
64589,E00004155,E00004155,Output Areas and Small Areas,OASA,39,50,14,0,0
64590,E00004156,E00004156,Output Areas and Small Areas,OASA,72,40,13,0,1
64591,E00004157,E00004157,Output Areas and Small Areas,OASA,35,47,10,2,0
64592,E00004158,E00004158,Output Areas and Small Areas,OASA,67,54,2,1,0
64593,E00004159,E00004159,Output Areas and Small Areas,OASA,103,49,7,1,0
64594,E00004160,E00004160,Output Areas and Small Areas,OASA,66,32,5,0,0
64595,E00004161,E00004161,Output Areas and Small Areas,OASA,42,37,14,1,2
64596,E00004162,E00004162,Output Areas and Small Areas,OASA,82,40,6,0,0
64597,E00004163,E00004163,Output Areas and Small Areas,OASA,68,77,13,3,2
